"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","bua","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","Reliability","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","a$cluster","log","lan"
"13374","Frog census","Heard","rail_station",1404.93658,"railway",0.00031731,"N","N","N","N","Y",16,0.000899999984540045,26,134,118,16,1.12090003490448,0.0052000000141561,0.511547565460205,7.43521451950073,292.271789550781,11.7281999588013,84.7153015136719,33.728199005127,103,16.3390998840332,"low reliability",145.42645,-38.06944
"13375","Frog census","Heard","rail_station",5157.354317,"watercourse_drain",0.002126435,"N","N","N","N","Y",11,0.0143999997526407,17,92,118,19,0.95389997959137,0.00240000011399388,1.16523492336273,6.51180267333984,293.192504882813,8.80749988555908,87.192497253418,31.8075008392334,103,16.0625,"low reliability",145.51378,-38.12172
"13376","Owl census","Heard","place",2370.310119,"watercourse_river",0.005247537,"N","Y","Y","N","N",10.1999998092651,0.0302000008523464,57,145,132,113,0.861999988555908,0.0256999991834164,0,0,253.347595214844,20.6523990631104,95.3477020263672,91.6563034057617,113,17.0683994293213,"high reliability",146.33921,-39.01498
"13377","Owl census","Heard","place",6956.978553,"road",0.018426456,"N","Y","Y","N","N",128.600006103516,0.0434999987483025,16,95,108,6,2.08960008621216,0.0251000002026558,0.244049251079559,7.82296800613403,282.346588134766,27.0249004364014,67.0266036987305,46.7677993774414,6,13.7433004379273,"high reliability",146.32823,-38.10381
"13378","Timed bird census","Heard","place",3184.458526,"road",0.025391958,"N","Y","Y","N","N",98,-0.0153000000864267,37,140,125,106,1.96570003032684,0.0152000002563,0,1.76559710502625,258.714691162109,-0.677500009536743,87.7142028808594,79.2853012084961,106,17.0002994537354,"low reliability",141.36619,-38.22418
"13379","Spotlighting on foot","Heard","place",4654.737453,"watercourse_stream",0.011461409,"N","N","N","N","N",438,1.19210004806519,4,106,102,17,2.61059999465942,0.0375000014901161,0.473457604646683,10.1660833358765,288.401306152344,26.8269996643066,56.3939018249512,100.281402587891,12,11.3801002502441,"low reliability",145.66681,-37.30417
"13380","Spotlighting on foot","Heard","rail_station",8038.537954,"watercourse_stream",0.004050335,"N","N","N","N","N",377,0.133100003004074,64,102,107,16,2.46709990501404,0.0320000015199184,1.0021505355835,11.2074146270752,280.747100830078,6.79829978942871,66.7701034545898,16.257999420166,12,14.2767000198364,"low reliability",144.10427,-37.68443
"13381","Incidental","Heard","airport",2116.170615,"road",0.002218384,"N","N","N","N","N",450.600006103516,-1.44219994544983,66,109,75,7,2.63030004501343,0.165900006890297,1.13260531425476,8.9041223526001,318.722503662109,19.7884998321533,56.7873001098633,126.118797302246,7,14.1968002319336,"low reliability",146.88406,-36.73651
"13620","Incidental","Observation","place",2662.082146,"road",0.001718144,"N","N","N","N","Y",88.4000015258789,0.0171000007539988,17,99,118,19,1.9074000120163,0.0108000002801418,1.21090424060822,11.6284322738648,292.224395751953,17.9013004302979,83.0262985229492,25.0911998748779,3,13.4506998062134,"low reliability",145.10045,-37.7544
"13621","Incidental","Observation","place",2828.751036,"watercourse_river",0.002635835,"N","N","Y","N","Y",127.199996948242,0.096900001168251,17,99,118,19,2.06559991836548,0.0127999996766448,1.01013350486755,11.8973903656006,292.034393310547,18.0335006713867,82.7301025390625,28.7306003570557,3,13.2782001495361,"high reliability",145.16897,-37.73746
"13622","Herp census - active","Observation","place",3592.387697,"road",0.006141969,"N","N","Y","N","Y",4.19999980926514,0.0172000005841255,16,95,118,19,0.703700006008148,0.0063999998383224,0.493599772453308,8.01766586303711,288.432312011719,12.003999710083,86.4322967529297,28.5676994323731,103,17.3192005157471,"low reliability",145.13273,-38.00455
"13639","Incidental","Heard","place",8688.318985,"watercourse_stream",0.004144995,"N","N","N","N","N",205.600006103516,0.0019000000320375,32,120,123,16,2.18549990653992,0.00680000009015203,0.745650470256805,8.44798183441162,289.715087890625,3.76290011405945,69.692497253418,3.90960001945496,109,15.3705997467041,"low reliability",144.45884,-37.59813
"13644","General observations","Observation","rail_station",5586.830504,"watercourse_stream",0.014326219,"N","N","N","N","Y",95.4000015258789,-0.868799984455109,62,98,124,12,1.95200002193451,0.0471000000834465,1.34287905693054,7.65959453582764,282.705596923828,27.69700050354,72.2324981689453,50.3876991271973,12,12.3900003433228,"low reliability",145.66281,-38.04151
"13645","General observations","Heard","rail_station",1553.903436,"watercourse_stream",0.000482577,"N","N","N","Y","N",612.599975585938,0.0524000003933907,64,108,119,12,2.73850011825561,0.0432000011205673,0.343813180923462,7.90784788131714,270.997985839844,13.0024003982544,53.9933013916016,57.111198425293,12,14.2468004226685,"low reliability",144.51468,-37.3488
"13650","Frog census","Heard","place",884.7658819,"road",0.000128545,"Y","Y","Y","N","N",11.6000003814697,-0.0808999985456467,16,154,118,19,1.08759999275208,0.0167999994009733,0.631106615066528,8.84477138519287,287.591094970703,15.5836000442505,81.3876037597656,21.3896007537842,103,17.1219005584717,"low reliability",144.9782,-37.82536
"13651","Frog census","Heard","place",884.7658819,"road",0.000128545,"Y","Y","Y","N","N",11.6000003814697,-0.0808999985456467,16,154,118,19,1.08759999275208,0.0167999994009733,0.631106615066528,8.84477138519287,287.591094970703,15.5836000442505,81.3876037597656,21.3896007537842,103,17.1219005584717,"low reliability",144.9782,-37.82536
"13662","Spotlighting","Seen","place",4825.265074,"road",0.001566485,"N","N","N","N","N",-1,0,83,168,141,-99,0,0,0,1.76559710502625,251.002593994141,4.99739980697632,88.0026016235352,76.9973983764649,-99,19.4659996032715,"low reliability",141.62253,-38.38013
