temp_id,LATITUDEDD_NUM,LONGITUDEDD_NUM,bay,bua,forest,island,island_marine,lga,locality,mainland,named_natural_region,postcode,public_land,ridge,sea,vicgov_region,wb_lake,wb_lake_salt,wetland_swamp
3710,-36.58945,147.84807,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3711,-37.32034,148.76133,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3712,-37.32034,148.76133,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3713,-37.31954,148.81435,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3714,-37.31954,148.81435,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3715,-37.31954,148.81435,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3716,-37.31954,148.81435,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3717,-37.31954,148.81435,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3718,-37.44808,149.15656,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3719,-37.44808,149.15656,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3720,-37.55451,149.1019,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3721,-37.55451,149.1019,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3722,-37.86717,146.36971,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3723,-37.92155,146.26571,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3724,-37.92155,146.26571,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3725,-37.92155,146.26571,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3726,-37.92155,146.26571,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3727,-37.92155,146.26571,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3728,-37.86824,146.40154,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3729,-37.86824,146.40154,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3730,-37.86824,146.40154,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3731,-37.82114,146.3576,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3732,-37.82114,146.3576,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3733,-37.95528,146.33026,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3734,-37.95528,146.33026,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3735,-37.84721,145.86978,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3736,-37.84721,145.86978,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3737,-37.89072,145.99648,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3738,-38.71919,146.14144,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3739,-34.13539,141.12335,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3740,-37.7349,144.57785,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3741,-37.83938,145.4926,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3742,-37.768,145.41003,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3743,-37.56174,145.48802,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N
3744,-37.94072,144.3845,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3745,-38.04946,144.14021,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3746,-37.63913,144.52204,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3747,-37.25058,147.64456,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N
3748,-38.00158,147.39709,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3749,-38.0495,146.42286,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3750,-38.13421,146.64698,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N
3751,-37.72622,147.95051,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3752,-36.76825,146.1973,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3753,-36.92319,142.40649,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3754,-37.76202,148.26544,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3755,-37.76202,148.26544,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3756,-37.76202,148.26544,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3757,-37.76202,148.26544,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3758,-37.76202,148.26544,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3759,-37.76202,148.26544,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3760,-37.76083,148.29153,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3761,-37.8175,148.21753,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y
3762,-37.79555,148.40798,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3763,-37.79555,148.40798,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3764,-35.98484,144.45394,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3765,-35.98484,144.45394,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3766,-35.97202,144.44437,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3767,-35.97202,144.44437,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3768,-35.97202,144.44437,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
