"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"2415","high reliability","Camera - Surveillance/Remote","Observation","place",2380.648187,"watercourse_stream",0.000386362,"Y","N","N","N",234,-1.2548999786377,17,92,106,12,2.332200050354,0.00999999977648258,1.44013488292694,13.7524070739746,286.154510498047,26.2789001464844,76.0199966430664,47.9455986022949,12,10.9097003936768
"2416","high reliability","Large hair tubes","Identified from hair or scats","place",10276.27001,"watercourse_river",0.026000272,"Y","Y","N","N",138.800003051758,-0.0816000029444695,62,98,99,12,2.14520001411438,0.0384000018239021,0,1.76559710502625,273.043487548828,43.1803016662598,66.1664962768555,57.1108016967773,12,12.49880027771
"2417","high reliability","Camera - Surveillance/Remote","Observation","place",16503.73416,"road",0.014742897,"Y","Y","N","N",1100.19995117188,0.437000006437302,58,127,78,107,3.04069995880127,0.0768000036478043,0.504728198051453,7.26924276351929,240.779098510742,75.8984985351563,16.635799407959,98.875,107,14.1913003921509
"2418","high reliability","Camera - Surveillance/Remote","Observation","place",17372.75585,"watercourse_stream",0.011712183,"Y","Y","N","N",1158.59997558594,0.889800012111664,58,127,78,107,3.06319999694824,0.0623999983072281,1.32883858680725,12.2538299560547,233.328506469727,84.6477966308594,12.4385004043579,109.034202575684,107,12.5657997131348
"2419","high reliability","Elliott trap","Seen","place",6456.333097,"watercourse_stream",0.004727801,"Y","Y","Y","N",81.1999969482422,1.05939996242523,53,6,130,6,1.83879995346069,0.120600000023842,0,1.76559710502625,262.674194335937,4.12360000610352,86.7221984863281,44.2098007202148,6,13.9084997177124
"2420","high reliability","Elliott trap","Seen","place",4358.297622,"watercourse_stream",0.009433011,"Y","Y","N","N",-1,0,84,170,141,-99,0,0,0,1.76559710502625,264.230194091797,7.76980018615723,92.1318969726562,56.3620986938477,-99,19.4659996032715
"2421","high reliability","Camera - Surveillance/Remote","Seen","place",2156.697608,"road",0.010935712,"Y","Y","N","N",-1,0,84,170,141,-99,0,0.000699999975040555,0,1.76559710502625,263.314514160156,4.6855001449585,89.3144989013672,38.6855010986328,-99,19.4659996032715
"2422","high reliability","Camera - Surveillance/Remote","Seen","place",5065.501664,"watercourse_stream",0.012869981,"Y","Y","N","N",48.2000007629395,-0.546299993991852,45,136,130,6,1.65639996528626,0.0383000001311302,0,1.76559710502625,263.988311767578,3.25609993934631,90.2093963623047,42.9213981628418,6,13.6372995376587
"2423","low reliability","Elliott trap","Captured and released","place",4926.894176,"coast",0.038652729,"N","Y","N","N",-1,0,69,159,141,-99,0,0,0,1.76559710502625,259.650695800781,9.34930038452148,94.6507034301758,45.3228988647461,-99,19.4659996032715
"2424","low reliability","General observations","Seen","rail_station",3889.615542,"watercourse_river",0.000207511,"Y","N","N","Y",192,-0.362500011920929,63,65,124,106,2.26379990577698,0.0952999964356422,0.566328287124634,8.11476802825928,283.105987548828,25.9151000976563,81.3794021606445,52.6642990112305,106,14.7164001464844
"2425","high reliability","Elliott trap","Captured and released","place",7455.988244,"watercourse_stream",0.000581433,"Y","Y","Y","N",274,0.636900007724762,36,146,131,7,2.39120006561279,0.0753000006079674,0,1.76559710502625,246.242095947266,27.1163005828857,72.8665008544922,120.175300598145,7,14.6417999267578
"2426","high reliability","Elliott trap","Captured and released","place",5214.821498,"road",0.00440181,"Y","Y","N","Y",91.1999969482422,-0.219699993729591,36,146,118,6,1.96309995651245,0.090999998152256,0,1.76559710502625,247.201400756836,18.3290996551514,89.8524017333984,72.7538986206055,6,14.8989000320435
"2427","high reliability","Elliott trap","Captured and released","mountain",766.0420481,"road",0.018398207,"Y","Y","N","N",532.599975585937,0.642700016498566,44,25,103,6,2.71939992904663,0.0296000000089407,1.76680648326874,13.8440008163452,276.952392578125,25.6844005584717,49.7050018310547,21.2481002807617,6,10.5228996276856
"2428","high reliability","Elliott trap","Captured and released","mountain",766.0420481,"road",0.018398207,"Y","Y","N","N",532.599975585937,0.642700016498566,44,25,103,6,2.71939992904663,0.0296000000089407,1.76680648326874,13.8440008163452,276.952392578125,25.6844005584717,49.7050018310547,21.2481002807617,6,10.5228996276856
"2429","high reliability","Elliott trap","Captured and released","rail_station",3821.984624,"watercourse_stream",0.006952957,"Y","N","N","Y",31,0.00139999995008111,17,92,118,16,1.43330001831055,0.0102000003680587,0.260801523923874,6.20953321456909,293.497894287109,12.5020999908447,85.4979019165039,32.5782012939453,103,17.0133991241455
"2430","high reliability","Elliott trap","Captured and released","rail_station",3821.984624,"watercourse_stream",0.006952957,"Y","N","N","Y",31,0.00139999995008111,17,92,118,16,1.43330001831055,0.0102000003680587,0.260801523923874,6.20953321456909,293.497894287109,12.5020999908447,85.4979019165039,32.5782012939453,103,17.0133991241455
"2431","high reliability","Elliott trap","Captured and released","rail_station",3821.984624,"watercourse_stream",0.006952957,"Y","N","N","Y",31,0.00139999995008111,17,92,118,16,1.43330001831055,0.0102000003680587,0.260801523923874,6.20953321456909,293.497894287109,12.5020999908447,85.4979019165039,32.5782012939453,103,17.0133991241455
"2432","high reliability","General observations","Captured and released","rail_station",4164.448667,"road",0.000891397,"Y","Y","Y","N",542.799987792969,-0.061999998986721,19,100,119,12,2.68249988555908,0.0313999988138676,0.80000913143158,9.98398494720459,274.506988525391,13.618200302124,57.2477989196777,48.1697006225586,12,13.4586000442505
"2433","high reliability","General observations","Captured and released","place",5884.65282,"road",0.001679781,"Y","N","N","N",332.600006103516,-0.0146000003442168,40,30,102,112,2.47519993782043,0.066600002348423,1.13235986232758,10.4183320999146,294.557006835938,15.3297004699707,73.1856994628906,45.7639007568359,112,17.0391006469727
"2434","high reliability","General observations","Captured and released","place",5622.585704,"watercourse_river",0.000773609,"Y","Y","Y","N",581.200012207031,-0.0874999985098839,19,100,114,16,2.69309997558594,0.0299999993294477,0.402059257030487,10.2860221862793,270.288604736328,14.3823003768921,56.2830009460449,50.5234985351563,12,14.5144996643066
"2435","high reliability","General observations","Captured and released","place",8755.166632,"road",0.009688129,"Y","Y","Y","N",261.600006103516,0.00350000010803342,30,112,112,103,1.67159998416901,0.00620000017806888,0.317319571971893,8.58617115020752,290.847412109375,2.16149997711182,67.0223999023438,37.1614990234375,103,16.5256996154785
"2436","high reliability","Elliott trap","Captured and released","mountain",570.7459091,"watercourse_stream",0.018772083,"Y","Y","Y","N",307.200012207031,-0.0763000026345253,32,120,106,3,2.43680000305176,0.0199999995529652,0.870401799678803,11.6912317276001,287.296112060547,17.4235000610352,67.2266006469727,35.2510986328125,3,11.833399772644
"2437","high reliability","Cage trap","Captured and released","mountain",3659.504008,"road",0.003089028,"Y","Y","Y","N",434,-0.860899984836578,53,6,139,6,2.39599990844727,0.118500001728535,0.271641910076141,6.91981744766235,291.853485107422,4.41249990463257,61.4958000183106,56.057201385498,6,15.1400003433228
"2438","high reliability","Elliott trap","Captured and released","mountain",1813.743581,"watercourse_river",0.000505138,"Y","Y","N","N",378.200012207031,0.371899992227554,7,105,102,12,2.5453999042511,0.0553000010550022,1.14834427833557,13.248387336731,295.65380859375,22.9582996368408,60.0416984558106,105.397499084473,12,14.716799736023
"2439","high reliability","Elliott trap","Captured and released","mountain",1813.743581,"watercourse_river",0.000505138,"Y","Y","N","N",378.200012207031,0.371899992227554,7,105,102,12,2.5453999042511,0.0553000010550022,1.14834427833557,13.248387336731,295.65380859375,22.9582996368408,60.0416984558106,105.397499084473,12,14.716799736023
"2440","high reliability","General observations","Captured and released","mountain",5081.16813,"watercourse_river",0.002125811,"Y","Y","Y","N",252.199996948242,0.146999999880791,17,92,106,8,2.34599995613098,0.025900000706315,1.19415724277496,12.626088142395,293.739288330078,12.5052995681763,74.9241027832031,25.4589996337891,8,13.4437999725342
"2441","high reliability","General observations","Captured and released","mountain",5081.16813,"watercourse_river",0.002125811,"Y","Y","Y","N",252.199996948242,0.146999999880791,17,92,106,8,2.34599995613098,0.025900000706315,1.19415724277496,12.626088142395,293.739288330078,12.5052995681763,74.9241027832031,25.4589996337891,8,13.4437999725342
"2442","high reliability","General observations","Captured and released","place",5257.656435,"road",0.020367323,"Y","N","N","Y",112.800003051758,0,40,30,124,106,1.98979997634888,0.0529999993741512,0.133709102869034,11.7042427062988,297.438690185547,24.1343002319336,81.9956970214844,57.1777992248535,106,15.8204002380371
"2443","high reliability","Elliott trap","Captured and released","place",7757.976136,"watercourse_river",0.001360029,"Y","Y","Y","N",542.200012207031,-0.0273000001907349,19,100,107,16,2.65899991989136,0.00659999996423721,0.321686923503876,10.6093683242798,272.785095214844,11.1357002258301,56.8757019042969,32.4042015075684,109,16.2838001251221
"2444","high reliability","Elliott trap","Captured and released","place",5477.401345,"road",0.001862822,"Y","Y","Y","N",600.200012207031,-0.0414999984204769,19,100,114,16,2.70900011062622,0.0141000002622604,0.224993780255318,11.7181015014648,271.851715087891,12.1501998901367,57.8549995422363,50.7771987915039,12,14.1584997177124
"2445","high reliability","Scat census","Identified from hair or scats","mountain",2594.496872,"watercourse_river",0.025084612,"Y","Y","N","N",937.200012207031,10.7351999282837,66,109,103,7,2.9640998840332,0.112899996340275,1.86462986469269,25.053092956543,268.878204345703,27.618200302124,38.3363990783691,101.108200073242,7,9.99009990692139
"2446","high reliability","Timed area stag watch","Observation","place",10008.00854,"watercourse_stream",0.003688066,"Y","Y","N","Y",813.200012207031,-2.14199995994568,7,105,124,7,2.90300011634827,0.0586000010371208,0.410028129816055,7.58600950241089,242.987899780273,49.2075004577637,47.7196006774902,128.012100219727,7,11.1624002456665
"2447","high reliability","Elliott trap","Captured and released","airport",12310.1717,"road",0.00940802,"N","N","N","N",83.4000015258789,-0.0333000011742115,16,154,122,17,1.92429995536804,0.00419999985024333,0,1.76559710502625,267.472900390625,17.527099609375,68.472900390625,18.225700378418,6,15.6149997711182
"2448","high reliability","Elliott trap","Captured and released","airport",12310.1717,"road",0.00940802,"N","N","N","N",83.4000015258789,-0.0333000011742115,16,154,122,17,1.92429995536804,0.00419999985024333,0,1.76559710502625,267.472900390625,17.527099609375,68.472900390625,18.225700378418,6,15.6149997711182
"2449","high reliability","Elliott trap","Captured and released","place",3761.301749,"watercourse_stream",0.0096048,"Y","Y","N","N",106,0.0428999997675419,16,95,129,6,2.02589988708496,0.00920000020414591,0,1.76559710502625,265.453308105469,23.3561000823975,76.7788009643555,40.1876983642578,6,15.0165996551514
