"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","LATITUDEDD_NUM","LONGITUDEDD_NUM"
"3449","High reliability","Elliott trap Large","Captured and released","mountain",6729.111795,"watercourse_stream",0.014793083,"Y","Y","N","N",527.200012207031,0.0291000008583069,19,100,80,12,2.6275999546051,0.0262000001966953,1.07597577571869,10.0317554473877,284.566101074219,5.04129981994629,54.2557983398438,60.1213989257812,12,13.1592998504639,-37.27024,144.07414
"3450","High reliability","Elliott trap Large","Captured and released","place",3522.70489,"watercourse_stream",0.003781546,"Y","Y","N","N",515.599975585937,0.0194000005722046,53,6,80,112,2.61870002746582,0.101400002837181,0.941922545433044,12.4309301376343,285.63330078125,3.07010006904602,58.0210990905762,59.2211990356445,112,15.7107000350952,-37.30514,144.10098
"3451","High reliability","Elliott trap Large","Captured and released","place",3522.70489,"watercourse_stream",0.003781546,"Y","Y","N","N",515.599975585937,0.0194000005722046,53,6,80,112,2.61870002746582,0.101400002837181,0.941922545433044,12.4309301376343,285.63330078125,3.07010006904602,58.0210990905762,59.2211990356445,112,15.7107000350952,-37.30514,144.10098
"3452","High reliability","Elliott trap Large","Captured and released","place",3522.70489,"watercourse_stream",0.003781546,"Y","Y","N","N",515.599975585937,0.0194000005722046,53,6,80,112,2.61870002746582,0.101400002837181,0.941922545433044,12.4309301376343,285.63330078125,3.07010006904602,58.0210990905762,59.2211990356445,112,15.7107000350952,-37.30514,144.10098
"3453","High reliability","Hair tube","Identified from hair or scats","rail_station",4020.990342,"road",2.84e-06,"Y","Y","N","N",409.200012207031,0.0020000000949949,32,120,107,16,2.50379991531372,0.0251000002026558,0.80822491645813,6.45504140853882,276.947998046875,9.94260025024414,63.0573997497559,22.8250999450684,109,16.1378993988037,-37.67991,144.05908
"3455","High reliability","Small hair tubes","Identified from hair or scats","place",8695.701167,"watercourse_stream",0.027585064,"Y","Y","N","N",126.610496520996,-0.0586000010371208,37,140,125,6,1.95529997348785,0.0113000003620982,0.174885049462318,3.71080732345581,264.743286132812,2.30060005187988,78.7008972167969,64.3255004882812,6,15.0340003967285,-38.01876,141.61228
"3456","High reliability","Small hair tubes","Identified from hair or scats","place",9052.264903,"road",0.007746663,"Y","Y","N","N",42.4737014770508,-0.0138999996706843,20,139,127,16,1.42569994926453,0.0144999995827675,0,1.76559710502625,262.840393066406,1.15069997310638,85.847900390625,69.4765014648438,6,15.6492004394531,-38.15785,141.52659
"3457","High reliability","Small hair tubes","Identified from hair or scats","mountain",3261.288342,"road",0.002588928,"Y","Y","N","N",11.1999998092651,0.00209999992512166,20,139,125,106,0.533900022506714,0.0052000000141561,0,1.76559710502625,263.859497070312,-0.859499990940094,89.8594970703125,61.1404991149902,106,16.2649993896484,-38.21478,141.73997
"3458","High reliability","Small hair tubes","Identified from hair or scats","airport",8361.74352,"watercourse_river",0.015454538,"Y","Y","N","N",46.7999992370605,0.000699999975040555,20,149,127,17,1.60179996490479,0.0015999999595806,0,1.76559710502625,263.720886230469,2.27909994125366,80.7209014892578,74.9821014404297,6,16.0219001770019,-38.02541,141.17126
"3459","High reliability","Small hair tubes","Identified from hair or scats","mountain",3892.752558,"road",9.99e-05,"Y","Y","N","N",78.9462966918945,0.00939999986439943,20,139,125,106,1.84660005569458,0.008500000461936,0,1.76559710502625,258.2080078125,1.79499995708466,85.2050018310547,77.7949981689453,106,16.5410003662109,-38.20047,141.40716
