"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","Reliability","log","lan"
"206","Incidental","Seen","place",2370.886725,"road",0.002984228,"Y","Y",226,-0.0588000006973743,15,90,81,8,2.13750004768372,0.0184000004082918,0.889169096946716,15.029375076294,327.384796142578,-8.38479995727539,65.741096496582,21.6151008605957,8,15.4939002990723,"high reliability",144.33467,-36.78616
"209","Incidental","Seen","mountain",4495.144158,"watercourse_river",7.88e-05,"Y","Y",338,0.929300010204315,28,94,136,8,2.49780011177063,0.0452999994158745,1.52096927165985,14.1832551956177,337.046203613281,10.981499671936,59.0023994445801,60.6622009277344,8,13.0668001174927,"low reliability",147.4739,-36.09207
"212","Timed bird census","Heard","place",6220.748462,"watercourse_channel",0.006476932,"Y","Y",167.399993896484,0.0121999997645616,35,121,81,16,1.91349995136261,0.0252999998629093,0.368231505155563,11.5186052322388,328.387512207031,-5.39169979095459,64.418701171875,16.5813007354736,103,16.0713996887207,"high reliability",144.47324,-36.7288
"213","Timed bird census","Heard","airport",8133.5061,"watercourse_stream",0.012794872,"Y","Y",261.799987792969,0.0208000000566244,35,121,96,6,2.13560009002685,0.0108000002801418,0.924003899097443,14.6011352539063,321.69580078125,-7.68930006027222,66.6893005371094,24.2656993865967,6,16.2754993438721,"high reliability",143.22755,-36.70603
"214","Timed bird census","Heard","place",13073.34243,"watercourse_channel",0.040194263,"Y","Y",216.199996948242,0.0252999998629093,15,90,96,8,1.93289995193481,0.00719999987632036,0.676539897918701,10.8387145996094,331.445404052734,-18.6159992218018,76.658203125,10.4997997283935,8,15.957799911499,"high reliability",143.0087,-36.72706
"215","Timed bird census","Seen","place",4565.590119,"watercourse_stream",9.93e-05,"N","N",194.800003051758,-0.0116999996826053,39,16,68,8,2.19160008430481,0.0133999995887279,0.835520386695862,15.4795446395874,343.173614501953,-4.14830017089844,65.1574020385742,15.5999002456665,8,16.3619995117188,"high reliability",146.20359,-36.15618
"217","Incidental","Heard","place",8580.272791,"watercourse_stream",0.014809177,"Y","Y",232,0.925100028514862,53,6,68,3,2.28629994392395,0.136500000953674,1.41426849365234,19.6297283172607,343.886688232422,-5.11469984054565,69.0964965820313,16.2350006103516,3,14.0826997756958,"high reliability",146.20359,-36.26526
"218","Timed bird census","Seen","mountain",5031.522071,"watercourse_stream",0.012755839,"Y","Y",224.600006103516,-0.0939999967813492,38,91,94,8,2.08920001983643,0.033500000834465,0.246678411960602,8.2067289352417,331.475891113281,-10.841799736023,67.4418029785156,12.1175003051758,8,15.3766002655029,"high reliability",143.69037,-36.52884
"219","Timed bird census","Heard","place",4467.198845,"road",0.025047989,"Y","Y",170.600006103516,-0.0184000004082918,15,90,89,18,1.75240004062653,0.0097000002861023,1.55608236789703,16.0221538543701,334.932312011719,-13.6597003936768,70.9321975708008,6.06780004501343,109,16.4937000274658,"high reliability",143.77872,-36.84313
"221","Timed bird census","Observation","place",6476.886014,"road",0.001922158,"Y","Y",152.399993896484,0.0230999998748302,15,90,81,8,1.91100001335144,0.008500000461936,1.24143648147583,15.2687244415283,326.271392822266,-2.19460010528564,67.3211975097656,17.7353000640869,8,15.160400390625,"high reliability",144.91,-36.76702
"222","Timed bird census","Heard","rail_station",8780.414663,"watercourse_stream",0.007698958,"Y","Y",249.800003051758,-0.0820000022649765,15,90,96,8,2.09910011291504,0.0173000004142523,1.24098014831543,17.7742176055908,327.051910400391,-12.0982999801636,71.0518035888672,18.9004001617432,8,15.3889999389648,"high reliability",143.25089,-36.70019
"223","Timed bird census","Heard","place",3361.442798,"watercourse_stream",4.28e-05,"Y","Y",252.399993896484,0.0320999994874,35,121,96,16,2.06699991226196,0.0122999995946884,1.52501142024994,14.1781969070435,319.412994384766,-7.57829999923706,65.6932983398437,28.4720001220703,103,16.2047004699707,"high reliability",143.28963,-36.83644
"224","Timed bird census","Observation","rail_station",7429.873507,"watercourse_stream",0.02052366,"Y","Y",241,0.0196000002324581,35,121,96,8,2.07139992713928,0.0232999995350838,1.29963409900665,16.1293926239014,325.624908447266,-10.6148996353149,68.8210983276367,19.6443004608154,8,16.3038997650146,"high reliability",143.24716,-36.68764
"226","Timed bird census","Observation","mountain",5898.051349,"road",0.006437524,"N","N",366.600006103516,0.089699998497963,15,90,96,3,2.33290004730225,0.0185000002384186,1.72477769851685,15.5404071807861,312.469696044922,-7.50890016555786,66.7351989746094,35.1035003662109,3,15.0363998413086,"high reliability",143.20883,-36.95063
"227","Timed bird census","Observation","mountain",5283.90633,"watercourse_stream",0.011803934,"Y","N",218.800003051758,-0.0229000002145767,38,91,94,3,1.97099995613098,0.0299999993294477,0.877219140529633,9.29922294616699,327.664794921875,-11.5672998428345,69.5589981079102,12.317099571228,3,14.9575004577637,"high reliability",143.61758,-36.88554
"228","Timed bird census","Observation","airport",8179.317812,"watercourse_stream",0.012598002,"Y","Y",260.200012207031,0.023700000718236,35,121,96,8,2.1301999092102,0.0196000002324581,0.989987790584564,15.0197725296021,322.845092773438,-8.84500026702881,67.8433990478516,23.1828994750977,8,16.3043994903565,"high reliability",143.22646,-36.70696
"229","Timed bird census","Observation","airport",8081.794191,"watercourse_stream",0.01134157,"Y","Y",260,0.00989999994635582,15,90,96,8,2.13120007514954,0.00120000005699694,0.672087073326111,14.3552913665772,324.869812011719,-10.0424003601074,69.0401992797852,21.1301994323731,8,15.8576002120972,"high reliability",143.23416,-36.70231
"230","Timed bird census","Observation","place",7477.572523,"watercourse_river",0.016044051,"N","Y",178.800003051758,0.103399999439716,64,102,81,3,2.06629991531372,0.031199999153614,2.65768122673035,21.0074806213379,320.247985839844,-0.209900006651878,67.1706008911133,24.4330997467041,3,14.7384004592896,"high reliability",145.00651,-36.89035
"231","Timed bird census","Observation","rail_station",6561.338115,"road",0.009025716,"N","N",185.800003051758,0.0124000003561378,48,48,94,18,1.85189998149872,0.0103000001981854,1.41813313961029,15.8010921478271,329.575103759766,-9.57509994506836,69.551399230957,13.8852996826172,109,16.199499130249,"high reliability",143.32738,-36.60138
"232","Timed bird census","Observation","mountain",9099.122822,"watercourse_stream",0.002327452,"Y","Y",197.199996948242,-0.088699996471405,48,48,81,103,2.0864999294281,0.0129000004380941,0.92523455619812,13.2098999023438,321.900207519531,1.10780000686646,62.7192993164063,22.0280990600586,103,15.0806999206543,"high reliability",144.82437,-36.74475
"233","Timed bird census","Observation","place",4596.402563,"road",0.025556277,"Y","Y",172.131896972656,-0.0137999998405576,15,90,89,18,1.76489996910095,0.0031999999191612,1.52940046787262,15.7987604141235,336.345092773437,-14.9601001739502,72.345100402832,4.65490007400513,103,16.5562000274658,"high reliability",143.7798,-36.84221
"234","Timed bird census","Observation","place",6623.123219,"road",0.011650756,"N","N",224.800003051758,0.0200999993830919,48,48,113,109,1.94840002059937,0.0136000001803041,0.968330442905426,13.4605932235718,321.085906982422,-8.09589958190918,66.0959014892578,18.0156002044678,109,15.830400466919,"high reliability",143.54162,-36.9629
"235","Timed bird census","Observation","place",6685.833581,"watercourse_stream",0.014734848,"Y","Y",163.302093505859,0.00389999989420176,15,90,94,109,1.71080005168915,0.0132999997586012,1.52476942539215,15.1685619354248,335.995086669922,-13.9951000213623,70.9951019287109,5.0048999786377,109,16.3430995941162,"high reliability",143.80152,-36.82277
"236","Timed bird census","Observation","airport",6173.098519,"watercourse_stream",0.011810307,"Y","Y",231.199996948242,0.122699998319149,15,90,96,16,2.0327000617981,0.0245999991893768,1.13649928569794,12.3255233764648,326.320190429688,-10.6461000442505,69.6137008666992,18.9293994903565,3,15.5710000991821,"high reliability",143.22695,-36.68532
"238","Timed bird census","Observation","mountain",9049.02728,"watercourse_stream",0.002415918,"Y","Y",204.600006103516,-0.0705000013113022,35,121,81,8,2.10890007019043,0.0205000005662441,0.874673366546631,15.1425075531006,324.320404052734,-1.29270005226135,64.4475021362305,19.7432994842529,8,14.9370002746582,"high reliability",144.82037,-36.72756
"239","Timed bird census","Observation","mountain",10177.18143,"watercourse_stream",0.010806831,"Y","Y",176.399993896484,-0.0493000000715256,35,121,81,3,2.0081000328064,0.0248000007122755,0.454071193933487,12.5950756072998,325.190093994141,-2.07920002937317,66.0792007446289,18.4726009368896,3,15.6301002502441,"high reliability",144.83658,-36.74858
"240","Timed bird census","Observation","place",5895.156194,"road",0.015399689,"Y","Y",175.199996948242,0.0118000004440546,15,90,94,16,1.79429996013641,0.0137000000104308,1.55937373638153,15.2525005340576,333.247589111328,-11.2526998519898,69.0598983764648,7.74739980697632,3,15.6445999145508,"high reliability",143.78251,-36.82412
"241","Timed bird census","Observation","mountain",2494.964193,"watercourse_stream",0.014858111,"Y","N",197,0.00730000017210841,15,90,94,103,1.86080002784729,0.00899999961256981,1.02693152427673,14.034707069397,329.485687255859,-12.4856996536255,70.4857025146484,9.51430034637451,103,16.3782005310059,"high reliability",143.68421,-36.93002
"242","Timed bird census","Observation","place",5231.975802,"watercourse_river",0.005035016,"N","N",294,-0.0152000002563,15,90,81,16,2.34430003166199,0.00300000002607703,0.824507117271423,12.3681173324585,314.061309814453,-2.28119993209839,63.8133010864258,26.4536991119385,8,13.5651998519897,"high reliability",144.6635,-36.9526
"245","Timed bird census","Observation","rail_station",7573.803094,"road",0.002937417,"N","N",189.399993896484,0.134800001978874,48,48,94,3,1.87549996376038,0.017400000244379,0.999492585659027,13.1176862716675,325.397613525391,-5.3976001739502,65.3332977294922,17.6676006317139,3,15.0403003692627,"high reliability",143.33849,-36.59936
"246","Timed bird census","Observation","place",3292.052075,"road",0.021932199,"N","N",262.200012207031,0.0212999992072582,15,90,96,16,2.11829996109009,0.0229000002145767,1.17949330806732,14.1000652313232,327.036010742187,-14.5650997161865,72.4108963012695,20.0287990570068,8,15.1752996444702,"high reliability",143.32096,-36.79708
"247","Timed bird census","Observation","mountain",5407.607569,"road",0.003013666,"N","N",222.199996948242,0.0244999993592501,15,90,94,16,1.98969995975494,0.0230000000447035,0.657564163208008,10.9912786483765,327.752197265625,-11.752200126648,68.8314971923828,12.275899887085,103,16.0163993835449,"high reliability",143.6103,-36.86948
"249","Timed bird census","Observation","airport",6173.098519,"watercourse_stream",0.011810307,"Y","Y",231.199996948242,0.122699998319149,15,90,96,16,2.0327000617981,0.0245999991893768,1.13649928569794,12.3255233764648,326.320190429688,-10.6461000442505,69.6137008666992,18.9293994903565,3,15.5710000991821,"high reliability",143.22695,-36.68532
"251","Timed bird census","Observation","airport",6050.205283,"watercourse_stream",0.008005761,"Y","Y",231.199996948242,0.0377000011503696,48,48,96,8,2.03410005569458,0.0131999999284744,0.981472551822662,13.9281139373779,323.908111572266,-8.07269954681397,67.0726013183594,21.3201007843018,8,15.6491003036499,"high reliability",143.2302,-36.68165
"252","Timed bird census","Observation","mountain",9049.02728,"watercourse_stream",0.002415918,"Y","Y",204.600006103516,-0.0705000013113022,35,121,81,8,2.10890007019043,0.0205000005662441,0.874673366546631,15.1425075531006,324.320404052734,-1.29270005226135,64.4475021362305,19.7432994842529,8,14.9370002746582,"high reliability",144.82037,-36.72756
"253","Timed bird census","Observation","mountain",8699.976292,"watercourse_stream",0.000860173,"Y","Y",185.199996948242,-0.0284000001847744,35,121,81,103,2.03949999809265,0.0251000002026558,1.01481211185455,13.7937030792236,324.632385253906,-1.60689997673035,65.6069030761719,18.5820007324219,103,16.8584995269775,"high reliability",144.81897,-36.73745
"254","Timed bird census","Observation","mountain",8585.225168,"watercourse_stream",5.44e-05,"Y","Y",185,-0.0119000002741814,35,121,81,108,2.03870010375977,0.0208000000566244,1.05610239505768,15.0059766769409,325.562896728516,-2.56209993362427,66.561897277832,17.7716999053955,108,17.4270992279053,"high reliability",144.81783,-36.73833
"255","Timed bird census","Observation","airport",8366.499588,"watercourse_stream",0.012004568,"Y","Y",270,0.031199999153614,35,121,96,8,2.15980005264282,0.0193000007420778,1.15032601356506,16.0770721435547,320.495086669922,-7.30200004577637,65.4169998168945,25.7516994476318,8,15.1318998336792,"high reliability",143.2243,-36.7097
"256","Timed bird census","Observation","airport",6173.098519,"watercourse_stream",0.011810307,"Y","Y",231.199996948242,0.122699998319149,15,90,96,16,2.0327000617981,0.0245999991893768,1.13649928569794,12.3255233764648,326.320190429688,-10.6461000442505,69.6137008666992,18.9293994903565,3,15.5710000991821,"high reliability",143.22695,-36.68532
"259","Timed bird census","Observation","rail_station",8419.387737,"road",0.00367699,"N","N",179.800003051758,0.00389999989420176,15,90,94,18,1.8235000371933,0.0020000000949949,0.882110714912415,12.0373849868774,335.544708251953,-14.5446996688843,74.5447006225586,8.37290000915527,103,16.6019992828369,"high reliability",143.34027,-36.584
"261","Timed bird census","Observation","place",2669.450679,"road",0.00281321,"N","N",355.200012207031,-0.431699991226196,38,91,96,3,2.29460000991821,0.0439000017940998,0.411385089159012,10.0616521835327,311.080200195312,-6.63450002670288,66.9100036621094,33.1469993591309,3,11.7271995544434,"high reliability",143.12665,-36.98368
"262","Timed bird census","Observation","rail_station",5876.293297,"watercourse_stream",0.016495902,"Y","Y",225.800003051758,0.0715999975800514,48,48,96,103,2.01629996299744,0.0113000003620982,1.04036843776703,11.1138038635254,321.597686767578,-5.54470014572144,64.5447006225586,23.2698993682861,103,15.5823001861572,"high reliability",143.24563,-36.67325
"263","Timed bird census","Observation","mountain",9049.02728,"watercourse_stream",0.002415918,"Y","Y",204.600006103516,-0.0705000013113022,35,121,81,8,2.10890007019043,0.0205000005662441,0.874673366546631,15.1425075531006,324.320404052734,-1.29270005226135,64.4475021362305,19.7432994842529,8,14.9370002746582,"high reliability",144.82037,-36.72756
"264","Timed bird census","Observation","mountain",8331.446459,"watercourse_stream",0.001757019,"Y","Y",193.199996948242,-0.00980000011622906,35,121,81,103,2.07030010223389,0.0223999992012978,1.08044493198395,14.4884757995606,323.93701171875,-1.40659999847412,64.4088973999024,19.832799911499,103,16.0806999206543,"high reliability",144.81549,-36.74189
"265","Timed bird census","Observation","airport",8179.317812,"watercourse_stream",0.012598002,"Y","Y",260.200012207031,0.023700000718236,35,121,96,8,2.1301999092102,0.0196000002324581,0.989987790584564,15.0197725296021,322.845092773438,-8.84500026702881,67.8433990478516,23.1828994750977,8,16.3043994903565,"high reliability",143.22646,-36.70696
"266","Birds Australia 2ha search","Observation","place",4109.538988,"road",0.009290447,"Y","Y",240.600006103516,0.0297999996691942,15,90,113,18,2.08340001106262,0.0177999995648861,0.798401772975922,10.1299562454224,324.677185058594,-9.32600021362305,66.3264999389648,14.4323997497559,3,14.2744998931885,"high reliability",143.8099,-36.99019
"267","Birds Australia 2ha search","Observation","airport",3541.54282,"road",0.000953486,"N","Y",88,0.00419999985024333,65,14,72,18,1.02049994468689,0.00689999992027879,0.748098611831665,7.49544763565064,344.81201171875,-15.9773998260498,73.9774017333984,-3.97740006446838,109,15.8464002609253,"high reliability",143.78264,-35.92109
"268","Birds Australia 2ha search","Observation","mountain",7758.256284,"watercourse_river",0.009012078,"Y","N",780.200012207031,-7.50899982452393,66,109,75,107,2.87870001792908,0.198699995875359,1.58608877658844,12.8931369781494,295.36669921875,30.150800704956,43.9700012207031,152.789794921875,107,11.0312995910645,"high reliability",147.00964,-36.59787
"269","Birds Australia 2ha search","Observation","place",566.5050112,"road",0.00038709,"N","N",55.3692016601562,-0.0344999991357326,71,51,56,18,0.567200005054474,0.0151000004261732,0.316554993391037,2.36244606971741,334.85009765625,-12.4700002670288,64.4700012207031,2.88800001144409,5,16.9130001068115,"high reliability",141.1778,-35.26076
"270","Birds Australia 500m area search","Observation","rail_station",3322.121701,"watercourse_river",0.01475932,"Y","Y",400,2.73720002174377,53,6,136,3,2.56520009040833,0.097900003194809,1.86218810081482,9.34767723083496,331.603912353516,3.14989995956421,57.7234992980957,46.9019012451172,3,10.692099571228,"low reliability",146.64376,-36.17002
"271","Birds Australia 500m area search","Observation","mountain",3647.246958,"railway",0.021641526,"N","N",422.600006103516,-0.341600000858307,38,91,100,3,2.3060998916626,0.0544999986886978,0.654375076293945,16.5852737426758,295.527099609375,0.232700005173683,64.8218994140625,33.3050994873047,3,13.0717000961304,"high reliability",143.06897,-37.30014
