"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","X75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","Reliability"
"1433","Birds Australia 500m area search","Observation","place",3319.080614,"road",0.000967903,"N","N",151.744201660156,-0.0198999997228384,48,48,83,16,1.79550004005432,0.0082999998703599,0.602058410644531,8.11884117126465,333.854705810547,-6.87290000915527,65.8546981811523,9.14529991149902,8,15.6569004058838,"high reliability"
"1434","Birds Australia 5km area search","Observation","mountain",3269.068551,"road",0.016758891,"Y","Y",200,0.0007999999797903,48,48,94,18,1.97609996795654,0.00430000014603138,0.422016263008118,9.39220523834229,327.957214355469,-5.95699977874756,63.144401550293,14.8711004257202,103,17.5153007507324,"high reliability"
"1435","Birds Australia 2ha search","Observation","mountain",13488.3084,"watercourse_stream",0.009495853,"Y","Y",182.800003051758,0.000600000028498471,48,48,94,16,1.86450004577637,0.0082999998703599,1.73598325252533,12.6665515899658,331.275390625,-10.2754001617432,67.2753982543945,10.7245998382568,103,17.305700302124,"high reliability"
"1436","Birds Australia 500m area search","Observation","mountain",5269.151496,"road",0.013779366,"Y","N",443,-0.0696000009775162,19,100,139,6,2.46440005302429,0.0205000005662441,0.209393575787544,6.96591091156006,303.455902099609,-1.42309999465942,63.7112998962402,64.2886962890625,6,16.9591999053955,"high reliability"
"1437","Birds Australia 5km area search","Observation","place",9061.416743,"road",0.000261926,"N","N",297,-0.875899970531464,6,76,73,3,2.4381000995636,0.0758000016212463,0.696126043796539,11.2564039230347,333.051513671875,13.6055002212524,52.8031997680664,65.2500991821289,3,13.455400466919,"high reliability"
"1438","Birds Australia 5km area search","Observation","mountain",1979.441674,"road",0.014884628,"Y","Y",20,0.0019000000320375,32,120,123,18,0.721300005912781,0.00240000011399388,0.174795985221863,3.55104517936706,284.194396972656,-6.1943998336792,86.1943969726562,-0.194399997591972,109,17.2387008666992,"high reliability"
"1439","Birds Australia 2ha search","Observation","rail_station",2310.251543,"road",0.000934263,"N","N",146.600006103516,-0.0148999998345971,48,48,83,18,1.7311999797821,0.0052000000141561,1.3677864074707,15.3859720230103,334.719604492187,-6.55249977111816,64.5524978637695,9.44750022888184,103,16.729700088501,"high reliability"
"1440","Birds Australia 500m area search","Observation","place",6467.430246,"watercourse_river",0.001052935,"Y","Y",119.330200195313,-0.00620000017806888,15,90,140,20,1.78139996528626,0.0126000000163913,1.65242314338684,16.1276931762695,338.929412841797,-10.9704999923706,72.9704971313477,11.0295000076294,109,16.2998008728027,"high reliability"
"1441","Birds Australia 500m area search","Observation","airport",6123.916639,"watercourse_river",0.000871032,"Y","Y",118.544097900391,-0.00789999961853027,15,90,140,16,1.78170001506805,0.00439999997615814,1.55778026580811,16.720537185669,339.7578125,-11.7578001022339,73.7577972412109,10.2421998977661,109,15.9811000823975,"high reliability"
"1442","Birds Australia 500m area search","Observation","place",5060.866849,"watercourse_stream",0.001370391,"N","N",84.5999984741211,0.00760000012814999,48,93,83,20,1.1061999797821,0.00469999993219972,1.67552006244659,15.6754808425903,345.228912353516,-14.2290000915527,68.2289962768555,-2.22900009155273,103,15.6702003479004,"high reliability"
