"","Reliability","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","named_natural_region","postcode","public_land","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","log","lan"
"171","high reliability","Incidental","place",14773.91303,"road",0.025615297,"Y","N","Y","Y","N",85,0.0100999996066093,29,11,42,4,1.70930004119873,0.00439999997615814,0.245935529470444,2.9298255443573,344.541687011719,-12.5566997528076,67.5417022705078,-2.54180002212524,4,15.9521999359131,141.44269,-34.43316
"172","high reliability","Incidental","place",14773.91303,"road",0.025615297,"Y","N","Y","Y","N",85,0.0100999996066093,29,11,42,4,1.70930004119873,0.00439999997615814,0.245935529470444,2.9298255443573,344.541687011719,-12.5566997528076,67.5417022705078,-2.54180002212524,4,15.9521999359131,141.44269,-34.43316
"173","high reliability","Incidental","place",14773.91303,"road",0.025615297,"Y","N","Y","Y","N",85,0.0100999996066093,29,11,42,4,1.70930004119873,0.00439999997615814,0.245935529470444,2.9298255443573,344.541687011719,-12.5566997528076,67.5417022705078,-2.54180002212524,4,15.9521999359131,141.44269,-34.43316
"174","high reliability","Incidental","place",14773.91303,"road",0.025615297,"Y","N","Y","Y","N",85,0.0100999996066093,29,11,42,4,1.70930004119873,0.00439999997615814,0.245935529470444,2.9298255443573,344.541687011719,-12.5566997528076,67.5417022705078,-2.54180002212524,4,15.9521999359131,141.44269,-34.43316
"175","high reliability","Incidental","place",14773.91303,"road",0.025615297,"Y","N","Y","Y","N",85,0.0100999996066093,29,11,42,4,1.70930004119873,0.00439999997615814,0.245935529470444,2.9298255443573,344.541687011719,-12.5566997528076,67.5417022705078,-2.54180002212524,4,15.9521999359131,141.44269,-34.43316
"176","high reliability","Incidental","place",14773.91303,"road",0.025615297,"Y","N","Y","Y","N",85,0.0100999996066093,29,11,42,4,1.70930004119873,0.00439999997615814,0.245935529470444,2.9298255443573,344.541687011719,-12.5566997528076,67.5417022705078,-2.54180002212524,4,15.9521999359131,141.44269,-34.43316
"177","high reliability","Timed bird census","place",14367.3831,"road",0.002402658,"Y","N","Y","Y","N",68.1999969482422,-0.0379999987781048,29,11,42,4,1.55250000953674,0.0154999997466803,0.304734289646149,3.76713180541992,346.050689697266,-13.0507001876831,68.0506973266602,-3.05069994926453,4,15.1731004714966,141.38919,-34.39637
"178","high reliability","General observations","place",3412.932906,"road",0.006999517,"Y","N","Y","Y","N",207,2.90669989585876,36,146,1,16,2.31200003623962,0.112300001084805,0.526698470115662,4.02289581298828,265.332489013672,30.3663005828857,74.6232986450195,62.5848999023438,12,12.8920001983643,146.3872,-38.36116
"179","low reliability","Timed bird census","place",2038.092224,"watercourse_river",0.010225925,"Y","N","Y","Y","Y",93.4000015258789,-0.0299999993294477,62,98,124,106,1.93309998512268,0.0252000000327825,0.906804740428925,7.09212684631348,288.453094482422,27.3523006439209,73.4618988037109,48.6702003479004,106,16.6471996307373,145.73354,-37.99023
"180","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"181","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"182","high reliability","Bird transect","place",13450.51732,"road",0.104067131,"Y","N","Y","Y","N",51,0,73,9,42,4,1.19289994239807,0.0105999996885657,1.49400138854981,10.6814184188843,346.095703125,-13.913200378418,69.913200378418,-3.91319990158081,4,16.2362003326416,141.552,-34.50486
"183","high reliability","Bird transect","place",19755.90469,"watercourse_channel",0.115778631,"Y","Y","Y","Y","N",71.8000030517578,-0.00170000002253801,71,51,48,5,1.22300004959106,0.0100999996066093,0.3410424888134,4.00430870056152,335.109710693359,-9.10970020294189,65.1097030639648,3.89030003547668,5,16.4650993347168,141.99935,-35.46684
"184","high reliability","Bird transect","place",19755.90469,"watercourse_channel",0.115778631,"Y","Y","Y","Y","N",71.8000030517578,-0.00170000002253801,71,51,48,5,1.22300004959106,0.0100999996066093,0.3410424888134,4.00430870056152,335.109710693359,-9.10970020294189,65.1097030639648,3.89030003547668,5,16.4650993347168,141.99935,-35.46684
"185","high reliability","Bird transect","place",19755.90469,"watercourse_channel",0.115778631,"Y","Y","Y","Y","N",71.8000030517578,-0.00170000002253801,71,51,48,5,1.22300004959106,0.0100999996066093,0.3410424888134,4.00430870056152,335.109710693359,-9.10970020294189,65.1097030639648,3.89030003547668,5,16.4650993347168,141.99935,-35.46684
"186","high reliability","Bird transect","place",19755.90469,"watercourse_channel",0.115778631,"Y","Y","Y","Y","N",71.8000030517578,-0.00170000002253801,71,51,48,5,1.22300004959106,0.0100999996066093,0.3410424888134,4.00430870056152,335.109710693359,-9.10970020294189,65.1097030639648,3.89030003547668,5,16.4650993347168,141.99935,-35.46684
"187","high reliability","Bird transect","place",19755.90469,"watercourse_channel",0.115778631,"Y","Y","Y","Y","N",71.8000030517578,-0.00170000002253801,71,51,48,5,1.22300004959106,0.0100999996066093,0.3410424888134,4.00430870056152,335.109710693359,-9.10970020294189,65.1097030639648,3.89030003547668,5,16.4650993347168,141.99935,-35.46684
"188","high reliability","Bird transect","place",19755.90469,"watercourse_channel",0.115778631,"Y","Y","Y","Y","N",71.8000030517578,-0.00170000002253801,71,51,48,5,1.22300004959106,0.0100999996066093,0.3410424888134,4.00430870056152,335.109710693359,-9.10970020294189,65.1097030639648,3.89030003547668,5,16.4650993347168,141.99935,-35.46684
"189","high reliability","Timed bird census","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
