"","Reliability","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","named_natural_region","postcode","public_land","vicgov_region","X75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"15","high reliability","Timed bird census","place",14647.63751,"road",0.022056086,"Y","N","Y","Y","N",79.8000030517578,0.00109999999403954,29,11,42,4,1.6628999710083,0.0094999996945262,0.401670932769775,3.42022061347961,346.955902099609,-15.1118001937866,69.7571029663086,-4.18599987030029,4,16.6417007446289
"16","high reliability","Incidental","airport",14850.89565,"road",0.000175262,"N","N","Y","Y","N",60.2000007629395,0.00150000001303852,9,8,45,18,1.09640002250671,0.00230000005103648,0.740620911121368,5.17122459411621,347.683013916016,-13.1293001174927,72.1293029785156,-6.12930011749268,4,16.1713008880615
"17","high reliability","Incidental","place",15950.80639,"road",0.049454265,"N","N","Y","N","N",87.4000015258789,-0.00920000020414591,71,51,42,18,1.72850000858307,0.0063999998383224,-0.0406152009963989,0.277751177549362,342.898284912109,-11.6428003311157,65.8983001708984,-0.898299992084503,5,16.6742000579834
"18","high reliability","Incidental","place",15950.80639,"road",0.049454265,"N","N","Y","N","N",87.4000015258789,-0.00920000020414591,71,51,42,18,1.72850000858307,0.0063999998383224,-0.0406152009963989,0.277751177549362,342.898284912109,-11.6428003311157,65.8983001708984,-0.898299992084503,5,16.6742000579834
"19","high reliability","Incidental","mountain",137.9762412,"watercourse_stream",0.003969616,"Y","N","Y","Y","N",648,-3.48539996147156,66,109,75,7,2.79870009422302,0.294900000095367,1.30041003227234,12.7217454910278,286.576202392578,31.3663005828857,43.0269012451172,141.698196411133,7,12.1219997406006
"20","high reliability","Timed bird census","place",14367.3831,"road",0.002402658,"Y","N","Y","Y","N",68.1999969482422,-0.0379999987781048,29,11,42,4,1.55250000953674,0.0154999997466803,0.304734289646149,3.76713180541992,346.050689697266,-13.0507001876831,68.0506973266602,-3.05069994926453,4,15.1731004714966
"21","high reliability","Timed bird census","place",14367.3831,"road",0.002402658,"Y","N","Y","Y","N",68.1999969482422,-0.0379999987781048,29,11,42,4,1.55250000953674,0.0154999997466803,0.304734289646149,3.76713180541992,346.050689697266,-13.0507001876831,68.0506973266602,-3.05069994926453,4,15.1731004714966
"22","high reliability","Bird transect","place",10644.1861,"road",0.00724597,"N","N","Y","Y","N",62.7317008972168,0.00630000000819564,56,46,42,4,1.49839997291565,0.00910000037401915,0.453345060348511,4.32008600234985,345.635192871094,-12.635199546814,67.6352005004883,-2.63520002365112,4,15.9787998199463
"23","high reliability","Incidental","place",13358.71157,"road",0.122580464,"N","N","Y","N","N",57.4000015258789,0.00130000000353903,56,46,42,4,1.33019995689392,0.00510000018402934,1.1611340045929,7.80503129959106,344.322814941406,-11.3227996826172,68.3227996826172,-2.32279992103577,4,16.4113006591797
"24","high reliability","Incidental","place",13358.71157,"road",0.122580464,"N","N","Y","N","N",57.4000015258789,0.00130000000353903,56,46,42,4,1.33019995689392,0.00510000018402934,1.1611340045929,7.80503129959106,344.322814941406,-11.3227996826172,68.3227996826172,-2.32279992103577,4,16.4113006591797
