"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","log","lan"
"352","low reliability","Quadrat","place",2234.347605,"watercourse_stream",0.004158947,"Y","N","N","N",116.400001525879,-3.93720006942749,53,6,106,12,1.98870003223419,0.146099999547005,1.03004467487335,12.4722919464111,290.767608642578,21.2747001647949,78.1013031005859,38.986198425293,12,12.1209001541138,145.340512,-37.638066
"353","high reliability","Quadrat","airport",9068.042785,"watercourse_stream",0.001252562,"Y","Y","N","N",279.399993896484,0.00510000018402934,35,121,96,103,2.1382999420166,0.0130000002682209,1.47705841064453,19.3694133758545,317.244995117187,-8.07810020446777,66.908203125,31.3547992706299,103,16.2872009277344,143.274788,-36.889948
"354","high reliability","Quadrat","place",10359.00328,"watercourse_stream",0.018296268,"Y","Y","N","N",245.399993896484,-0.063400000333786,15,90,112,3,2.00239992141724,0.0120999999344349,0.209910526871681,10.4753303527832,318.313110351562,-21.6019992828369,87.1686019897461,22.2945003509521,3,15.7300996780396,142.030842,-37.35288
"355","high reliability","Quadrat","airport",4713.61618,"watercourse_stream",0.006613958,"Y","Y","N","N",116.5458984375,0.0392999984323978,37,140,125,6,2.02419996261597,0.016499999910593,0,1.76559710502625,261.750793457031,1.6904000043869,81.1933975219727,77.5953979492188,6,15.3015003204346,141.2735,-38.06863
"356","high reliability","Specimen","mountain",5325.150226,"watercourse_river",0.005624497,"Y","Y","N","N",362,6.64930009841919,6,76,136,6,2.52959990501404,0.146699994802475,1.70324993133545,14.2284784317017,333.202606201172,13.2512998580933,55.8176002502441,64.1725997924805,6,11.0395002365112,147.45878,-36.10333
"357","high reliability","Quadrat","place",5878.022294,"road",0.000347332,"Y","Y","N","N",114,0.175500005483627,37,140,117,16,1.79990005493164,0.0153999999165535,0.12956428527832,1.94666254520416,278.773498535156,-0.942900002002716,75.1756973266602,57.0643005371094,103,16.2280998229981,141.48833,-37.76167
"358","high reliability","Quadrat","place",6558.391319,"road",0.009335506,"Y","N","N","N",167,0.00989999994635582,30,112,97,106,1.39629995822907,0.00920000020414591,0.293619334697723,4.79307556152344,311.431793212891,-4.64799976348877,64.4317016601562,34.5682983398437,106,15.6183996200562,141.79778,-37.00639
"359","high reliability","Quadrat","airport",8410.418227,"road",0.00263854,"Y","Y","N","N",127.800003051758,-0.598399996757507,64,102,117,16,1.92089998722076,0.0388999991118908,0.119797557592392,2.13365077972412,283.271301269531,-0.86379998922348,71.1725006103516,58.1217994689941,103,13.6202001571655,141.27528,-37.58306
"360","low reliability","Quadrat","place",3734.104611,"watercourse_stream",0.004596004,"Y","Y","N","N",69.8000030517578,-0.0533999986946583,64,102,106,16,1.72759997844696,0.046900000423193,0.193410143256187,11.6974840164185,298.874786376953,12.2677001953125,84.3818969726562,25.3680000305176,3,14.9841003417969,145.30778,-37.68222
"361","high reliability","Quadrat","place",7399.031473,"road",0.002564368,"Y","Y","N","N",7.80000019073486,-0.00889999978244305,16,95,122,2,1.02909994125366,0.00329999998211861,0,1.76559710502625,270.544189453125,20.2693004608154,67.5441970825195,14.4558000564575,2,17.3197994232178,147.4525,-38.12583
"362","high reliability","Quadrat","place",8235.22357,"road",0.007945039,"Y","Y","N","N",10.6000003814697,-0.0031999999191612,16,95,122,2,1.13039994239807,0.00240000011399388,0,1.76559710502625,269.06640625,21.1196002960205,66.8804016113281,15.625,2,17.5823993682861,147.46667,-38.1225
"363","high reliability","Quadrat","place",4279.238928,"road",0.015600964,"Y","Y","N","N",9.39999961853027,0.000600000028498471,16,95,122,2,1.0949000120163,0.00260000000707805,0,1.76559710502625,269.799011230469,19.1756992340088,67.7988967895508,14.2011003494263,2,17.3223991394043,147.42167,-38.15
"364","high reliability","Quadrat","place",4155.156816,"road",0.016700913,"Y","Y","N","N",9.39999961853027,0,16,95,122,2,1.0945999622345,0.00559999980032444,0,1.76559710502625,269.282592773438,19.4862995147705,67.282600402832,14.717399597168,2,16.9311008453369,147.42194,-38.15111
"365","high reliability","Quadrat","place",9661.602074,"road",0.003673833,"Y","Y","N","N",2.20000004768372,-0.00249999994412065,16,95,122,113,0.704800009727478,0.00579999992623925,0,1.76559710502625,274.187713623047,17.7439002990723,70.256103515625,11.7439002990723,113,18.4654998779297,147.46667,-38.10833
"366","high reliability","Quadrat","place",10276.24483,"road",0.000885295,"Y","Y","N","N",7.19999980926514,0.00510000018402934,16,95,122,2,1.00380003452301,0.00490000005811453,0,1.76559710502625,270.260406494141,20.7395992279053,67.2603988647461,14.7491998672485,2,18.0177993774414,147.47722,-38.10611
"367","high reliability","Quadrat","place",3214.549719,"road",0.009469335,"Y","Y","N","N",0,-0.0052000000141561,16,95,122,102,0.4932000041008,0.00800000037997961,0,1.76559710502625,271.707000732422,22.2929992675781,67.9421005249023,15.2930002212524,102,18.6865997314453,147.55306,-38.05639
"368","high reliability","Quadrat","place",4891.935642,"watercourse_river",0.008570089,"Y","Y","N","N",125.199996948242,0.467999994754791,17,92,106,19,2.03110003471375,0.029899999499321,0.945799946784973,11.9088973999023,295.577697753906,14.0320997238159,81.3740997314453,20.2395000457764,8,12.0899000167847,145.11889,-37.63778
"369","high reliability","Quadrat","airport",12426.75227,"watercourse_stream",0.012188841,"Y","Y","N","N",1311.59997558594,-2.46350002288818,46,124,138,11,3.11290001869202,0.0913999974727631,2.45543265342712,10.0321941375732,232.963195800781,48.404598236084,13.9749002456665,143.502502441406,11,11.5115995407104,147.61218,-36.86362
"370","high reliability","Quadrat","place",4735.666772,"road",0.03488469,"Y","Y","N","N",1,0.000899999984540045,16,95,122,13,0.711000025272369,0.00179999996908009,0,1.76559710502625,274.926513671875,22.0734996795654,68.3112030029297,14.0734996795654,13,18.8705997467041,147.56613,-38.00393
"371","high reliability","Quadrat","mountain",13440.818,"watercourse_river",0.007085174,"Y","Y","N","N",777.200012207031,-0.614799976348877,6,76,92,7,2.88210010528564,0.0856999978423119,1.89132082462311,12.4138946533203,282.525604248047,26.5813999176025,31.0149993896484,80.4004974365234,7,12.7655000686646,147.6859,-36.77483
"372","high reliability","Quadrat","place",2870.842319,"road",0.003744608,"Y","Y","N","N",91,0.000199999994947575,35,121,107,109,1.67229998111725,0.00680000009015203,0.32903853058815,9.76694965362549,288.790588378906,-9.36460018157959,89.3646011352539,3.64120006561279,109,16.1497001647949,144.13824,-38.05024
"373","low reliability","Species List for Defined Area","place",6497.328259,"watercourse_river",0.001548644,"Y","N","N","N",93.1999969482422,-0.0285999998450279,17,92,106,103,1.89240002632141,0.0245999991893768,0.567043006420136,15.8777046203613,297.545806884766,14.0282001495361,85.040397644043,28.1000995635986,103,15.6739997863769,145.285837,-37.70184
"374","high reliability","Quadrat","mountain",8140.084105,"road",0.000937339,"Y","Y","N","N",474.399993896484,-0.180899992585182,19,100,114,12,2.58279991149902,0.0148999998345971,1.18195998668671,9.95799922943115,289.730712890625,4.44799995422363,54.5519981384277,56.1151008605957,12,14.0292997360229,144.21212,-37.209095
"375","low reliability","Quadrat","airport",2594.323291,"watercourse_stream",0.004534461,"Y","Y","Y","N",262.200012207031,0.280200004577637,53,6,139,6,1.98310005664825,0.0899000018835068,0.17226105928421,5.6640214920044,302.702911376953,1.98660004138947,64.7105026245117,66.1536026000977,6,13.5622997283936,142.36821,-37.17939
"376","high reliability","Quadrat","place",10199.08198,"road",0.018518136,"Y","N","N","N",151.157592773438,0.000699999975040555,30,112,98,18,1.00399994850159,0.00669999979436398,0.113227404654026,2.04977440834045,312.603790283203,-7.44589996337891,70.6027984619141,41.5541000366211,109,16.6072998046875,141.18806,-36.92694
"377","high reliability","Quadrat","place",6145.512076,"road",0.011788864,"Y","Y","N","N",7.19999980926514,-0.00689999992027879,16,154,122,2,1,0.0052000000141561,0,1.76559710502625,271.235687255859,22.5282001495361,67.2368011474609,15.7631998062134,2,17.9757995605469,147.52556,-38.07167
"378","high reliability","Quadrat","place",3658.043983,"road",0.021535635,"Y","Y","N","N",9,-0.00439999997615814,16,95,122,2,1.0793000459671,0.00620000017806888,0,1.76559710502625,269.398986816406,18.6583003997803,68.007698059082,14.6009998321533,2,17.2010002136231,147.42389,-38.15556
"379","high reliability","Quadrat","place",3253.953075,"road",0.006008677,"Y","Y","N","N",0.600000023841858,0.00240000011399388,16,95,122,102,0.566100001335144,0.00630000000819564,0,1.76559710502625,271.721984863281,22.2779998779297,68.7220001220703,15.2779998779297,102,18.5764007568359,147.55472,-38.05944
"380","high reliability","Quadrat","place",5954.862966,"road",0.004958047,"Y","Y","N","N",7.80000019073486,0.0119000002741814,16,95,122,2,1.0246000289917,0.00300000002607703,0,1.76559710502625,270.488586425781,22.1739006042481,67.4886016845703,15.5114002227783,2,17.8040008544922,147.53167,-38.07583
"381","high reliability","Quadrat","place",10419.4931,"road",0.001754897,"Y","Y","N","N",7.59999990463257,0.00999999977648258,16,95,122,2,1.02059996128082,0.00219999998807907,0,1.76559710502625,270.318603515625,20.6814002990723,67.318603515625,14.6817998886108,2,17.9871997833252,147.47806,-38.105
"382","high reliability","Quadrat","place",3346.726423,"road",0.010385871,"Y","Y","N","N",1.60000002384186,-0.000699999975040555,16,95,122,113,0.670400023460388,0.00139999995008111,0,1.76559710502625,271.655212402344,22.3448009490967,67.7761001586914,15.3447999954224,113,18.8743991851807,147.55139,-38.05639
"383","high reliability","Quadrat","airport",12969.54372,"road",0.011275257,"Y","Y","N","N",214.399993896484,0.0236000008881092,35,121,139,6,1.78919994831085,0.0109000001102686,0.187431693077087,28.0009994506836,311.356414794922,-6.45179986953735,70.4185028076172,44.9958992004395,6,16.3055000305176,142.19247,-37.14661
"384","high reliability","Quadrat","airport",13152.98127,"watercourse_stream",0.002702138,"Y","Y","N","N",1176.59997558594,-3.77130007743835,18,67,138,7,3.06520009040833,0.178700000047684,2.65141558647156,8.60166835784912,253.801895141602,31.267599105835,23.7152004241943,93.0615997314453,7,11.1990003585815,147.62123,-36.85073
"385","high reliability","Quadrat","place",3276.567932,"road",0.004837346,"N","N","N","N",397,0.177499994635582,38,91,81,3,2.48049998283386,0.0211999993771315,2.34085559844971,21.7850532531738,313.041290283203,-4.62839984893799,60.4850997924805,31.957799911499,3,16.2283992767334,144.189,-36.9128
"386","high reliability","Quadrat","place",4712.221746,"road",0.011925331,"Y","Y","N","N",9.39999961853027,0.033100001513958,16,95,122,2,1.09519994258881,0.0094999996945262,0,1.76559710502625,269.343902587891,20.1322994232178,66.4904022216797,15.5085000991821,2,17.0559997558594,147.421077,-38.146117
"387","low reliability","Quadrat","mountain",13956.06849,"watercourse_stream",0.004348241,"Y","Y","N","N",394.799987792969,0.279399991035461,53,6,139,12,2.35229992866516,0.0658999979496002,0.192589834332466,7.44766044616699,290.798706054687,1.65910005569458,65.4868011474609,53.1925010681152,12,11.7000999450684,142.232292,-37.39152
"388","high reliability","Quadrat","place",10131.17164,"watercourse_river",0.005849005,"Y","Y","N","N",162.600006103516,0.108900003135204,26,150,117,17,2.07010006904602,0.00410000002011657,0.188468277454376,2.49735283851623,277.498199462891,-1.54499995708466,74.8795013427734,59.4579010009766,109,14.5691003799439,141.42778,-37.76083
"389","low reliability","Quadrat","airport",1482.125063,"watercourse_stream",0.007754611,"N","N","N","N",433.799987792969,-0.207100003957748,35,121,1,3,2.58610010147095,0.00559999980032444,1.0179477930069,12.2745542526245,304.973114013672,5.88019990921021,56.6862983703613,51.4066009521484,3,14.2520999908447,145.48194,-36.82111
"390","high reliability","Quadrat","place",6088.157984,"road",0.011721073,"Y","Y","N","N",7,0.00139999995008111,16,154,122,2,0.991199970245361,0.00620000017806888,0,1.76559710502625,271.543395996094,22.2406997680664,67.5445022583008,15.4554996490479,2,18.2691993713379,147.52611,-38.07139
"391","high reliability","Quadrat","place",6709.080102,"road",0.017140276,"Y","Y","N","N",6,-0.00179999996908009,16,154,122,2,0.945299983024597,0.00120000005699694,0,1.76559710502625,271.882904052734,21.1399002075195,67.8828964233398,15.1170997619629,2,18.4167995452881,147.5175,-38.07056
"392","high reliability","Quadrat","place",3659.785468,"road",0.02085468,"Y","Y","N","N",9.39999961853027,-0.000500000023748726,16,95,122,2,1.09389996528626,0.00260000000707805,0,1.76559710502625,269.399993896484,18.6002998352051,67.7120971679688,14.6000003814697,2,17.490800857544,147.4225,-38.15556
"393","high reliability","Quadrat","place",9604.363332,"road",0.003214654,"Y","Y","N","N",2.40000009536743,-0.0007999999797903,16,95,122,113,0.721599996089935,0.00510000018402934,0,1.76559710502625,274.031585693359,17.7374000549316,70.2626037597656,11.7374000549316,113,18.6455993652344,147.46667,-38.10889
"394","high reliability","Quadrat","place",3638.171232,"road",0.005347969,"Y","Y","N","N",3.20000004768372,0.00719999987632036,16,95,122,16,0.819500029087067,0.00480000022798777,0,1.76559710502625,270.648803710937,16.3512001037598,69.6488037109375,12.3512001037598,113,17.157600402832,147.38361,-38.18139
"395","high reliability","Quadrat","place",8120.708831,"road",0.009399617,"Y","Y","N","N",10.6000003814697,0.000600000028498471,16,95,122,2,1.13059997558594,0.000899999984540045,0,1.76559710502625,268.825714111328,21.4719009399414,66.5483016967773,15.7604999542236,2,17.6287002563477,147.46722,-38.12389
"396","high reliability","Quadrat","place",8120.708831,"road",0.009399617,"Y","Y","N","N",10.6000003814697,0.000600000028498471,16,95,122,2,1.13059997558594,0.000899999984540045,0,1.76559710502625,268.825714111328,21.4719009399414,66.5483016967773,15.7604999542236,2,17.6287002563477,147.46722,-38.12389
"397","high reliability","Quadrat","place",13548.82509,"watercourse_stream",0.004724932,"Y","Y","N","N",564.200012207031,0.39640000462532,61,96,92,12,2.74049997329712,0.0308999996632338,1.83447670936585,13.7708168029785,303.052886962891,18.9459991455078,43.7433013916016,63.9459991455078,12,13.957200050354,147.71806,-36.83083
"398","low reliability","Quadrat","place",4489.141267,"watercourse_stream",0.00179079,"Y","N","N","N",81.5999984741211,0.0579000003635883,17,92,106,16,1.81630003452301,0.022299999371171,0.206509873270988,12.5118799209595,298.620300292969,12.9054002761841,83.7326965332031,25.156099319458,103,15.0144996643066,145.30095,-37.6875
"399","high reliability","Quadrat","place",6387.148006,"watercourse_river",0.000175706,"Y","Y","N","N",76.5999984741211,-0.0303000006824732,17,92,106,20,1.78840005397797,0.0262000001966953,1.00245690345764,13.5835428237915,299.391510009766,12.2075004577637,85.7750015258789,25.7182998657227,103,16.2882995605469,145.29066,-37.7026
"400","low reliability","Quadrat","place",2028.247741,"road",0.001948102,"Y","N","N","N",134.600006103516,-0.500100016593933,40,30,106,12,2.06710004806519,0.0668999999761581,0.63497006893158,12.9136714935303,294.413513183594,16.5898990631104,82.1429977416992,32.1059989929199,12,13.9028997421265,145.297834,-37.654356
"401","high reliability","Quadrat","mountain",7743.362176,"road",0.007011784,"Y","Y","N","N",469.600006103516,-0.126900002360344,19,100,114,16,2.57780003547668,0.022299999371171,0.973325788974762,8.64309978485107,290.533294677734,3.23690009117126,55.7630996704102,55.1279983520508,12,13.9266996383667,144.215554,-37.217115
"402","low reliability","Quadrat","airport",2594.323291,"watercourse_stream",0.004534461,"Y","Y","Y","N",262.200012207031,0.280200004577637,53,6,139,6,1.98310005664825,0.0899000018835068,0.17226105928421,5.6640214920044,302.702911376953,1.98660004138947,64.7105026245117,66.1536026000977,6,13.5622997283936,142.36821,-37.17939
"403","high reliability","Quadrat","place",6969.01601,"road",0.008015054,"Y","Y","N","N",111,-0.0280000008642673,20,139,127,106,2.01559996604919,0.0109999999403954,0,1.76559710502625,254.634796142578,5.25549983978272,79.744499206543,85.1968994140625,106,17.5053997039795,141.2903,-38.15514
