"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"214","high reliability","Quadrat","place",11416.20666,"road",0.090851999,"Y","Y","N","N",132.122299194336,-0.00499999988824129,37,140,117,106,1.87020003795624,0.00870000012218952,0.322493642568588,6.01291847229004,287.820007324219,-1.91919994354248,70.7462005615234,60.0862998962402,106,16.1657009124756
"215","high reliability","Quadrat","place",6354.842322,"road",0.004136272,"Y","Y","N","N",113.124298095703,0.00839999970048666,20,139,125,6,1.87969994544983,0.00630000000819564,0.156998813152313,2.46429562568665,267.094787597656,2.76500010490417,78.2108001708984,64.7891998291016,6,16.3663005828857
"216","high reliability","Incidental","mountain",3887.543691,"watercourse_stream",0.01570991,"Y","Y","N","N",341.399993896484,-0.0851999968290329,38,91,136,3,2.49210000038147,0.0443000011146069,2.0299129486084,18.8688011169434,334.233001708984,1.84609997272492,59.1551017761231,50.9436988830566,3,12.1596002578735
"217","high reliability","Quadrat","mountain",10187.13607,"road",1.42e-05,"Y","Y","Y","N",420.600006103516,-0.0225000008940697,26,134,139,6,2.34340000152588,0.021900000050664,1.67775571346283,12.7188472747803,286.781005859375,6.21350002288818,60.7865982055664,51.3977012634277,6,16.1224994659424
"218","high reliability","Quadrat","place",8719.299149,"road",0.004939787,"Y","Y","N","Y",9.19999980926514,0.00240000011399388,16,95,122,2,1.08249998092651,0.00370000000111759,0,1.76559710502625,270.180999755859,20.8188991546631,67.1810989379883,14.8190002441406,2,17.8187999725342
"219","high reliability","Quadrat","place",7052.114756,"road",0.001918079,"Y","Y","N","Y",7.40000009536743,0,16,95,122,2,1.01279997825623,0.00260000000707805,0,1.76559710502625,271.200988769531,18.7989006042481,68.2009963989258,13.7988996505737,2,17.7782001495361
"220","high reliability","Quadrat","airport",3754.533858,"state_border",6.92e-05,"Y","Y","N","N",29.7800006866455,-0.0116999996826053,20,139,127,17,1.37960004806519,0.0121999997645616,0,1.76559710502625,264.964691162109,-1.9646999835968,83.9646987915039,71.1434020996094,106,15.5761995315552
"221","low reliability","Quadrat","airport",2618.439045,"watercourse_river",0.0004047,"Y","N","N","N",229,0.00620000017806888,26,134,125,16,2.04970002174377,0.00910000037401915,1.24317634105682,8.28669357299805,292.099212646484,-4.4798002243042,76.2885971069336,38.5061988830566,109,16.6352005004883
"222","high reliability","Quadrat","airport",953.7545061,"watercourse_river",0.000410108,"N","Y","N","N",327,0.0176999997347593,35,121,104,109,2.0239999294281,0.00980000011622906,1.35704374313355,13.3756875991821,301.716888427734,-4.69409990310669,70.6940994262695,22.3059005737305,109,16.6893997192383
"223","low reliability","Quadrat","place",2452.17542,"watercourse_river",0.016341698,"Y","N","N","N",189.399993896484,-0.818599998950958,17,92,106,8,2.22379994392395,0.0183000005781651,0.898734986782074,13.4043817520142,291.694305419922,18.7765007019043,77.4369964599609,34.084400177002,8,11.6237001419067
"224","high reliability","Specimen","mountain",7213.885961,"watercourse_stream",0.001397156,"Y","Y","N","N",177.800003051758,0.0103000001981854,30,112,139,6,1.50530004501343,0.0105999996885657,0.486387461423874,10.4714107513428,314.679901123047,-3.68009996414185,64.9411010742188,43.6454010009766,6,17.4459991455078
"225","high reliability","Quadrat","place",10300.12764,"road",0.007440681,"Y","Y","N","Y",0.600000023841858,0.00130000000353903,16,95,122,103,0.540700018405914,0.012699999846518,0,1.76559710502625,274.994110107422,16.9965991973877,71.0034027099609,10.996600151062,103,18.2817001342773
"226","high reliability","Quadrat","place",7429.994874,"watercourse_stream",0.001616366,"Y","Y","N","N",159,0.0159000009298325,37,140,117,106,2.04949998855591,0.0201999992132187,0.276051849126816,2.35001635551453,273.472686767578,1.67449998855591,72.3255004882813,62.6744995117187,106,16.421199798584
"227","high reliability","Quadrat","place",5532.915062,"watercourse_stream",0.025548936,"N","Y","N","N",146.600006103516,0.00310000008903444,30,112,127,103,1.36699998378754,0.00760000012814999,1.42866766452789,8.63184833526611,306.731414794922,-8.73139953613281,73.7313995361328,48.2485008239746,103,15.7109003067017
"228","low reliability","Quadrat","place",2151.64038,"road",0.003588116,"N","N","N","Y",77,-0.0116999996826053,37,140,118,6,1.89320003986359,0.0111999996006489,0.303221195936203,3.76928853988647,277.459899902344,13.8388004302979,87.1463012695313,46.8158988952637,6,14.6365995407104
"229","high reliability","Quadrat","place",6632.464208,"road",0.017922856,"Y","Y","N","Y",5.59999990463257,0,16,154,122,2,0.925300002098084,0.00350000010803342,0,1.76559710502625,271.83740234375,21.2908992767334,67.83740234375,15.1625995635986,2,18.5496997833252
"230","high reliability","Quadrat","place",3721.25101,"road",0.020503653,"Y","Y","N","Y",10,0.000899999984540045,16,95,122,2,1.11440002918243,0.000300000014249235,0,1.76559710502625,269.252288818359,18.8304004669189,67.6222991943359,14.7476997375488,2,17.4778995513916
"231","high reliability","Quadrat","mountain",11602.24662,"road",0.004420959,"Y","Y","N","N",43.0563011169434,0.00359999993816018,37,140,127,106,1.41970002651215,0.00289999996311963,0,1.76559710502625,265.511810302734,-1.38740003108978,87.6081008911133,67.6126022338867,106,16.1865005493164
"232","high reliability","Quadrat","place",10731.77853,"watercourse_stream",0.01767769,"Y","Y","N","N",244.399993896484,-0.0828000009059906,15,90,112,3,1.99860000610352,0.00559999980032444,0.151305735111237,14.8560380935669,313.677886962891,-16.6779003143311,82.1042022705078,27.3134994506836,3,15.7007999420166
"233","high reliability","Quadrat","airport",5619.241852,"watercourse_stream",0.022217056,"N","Y","N","Y",32,0.0219999998807907,16,95,122,16,1.53159999847412,0.00570000009611249,0,1.76559710502625,269.376708984375,10.6006002426148,73.2805023193359,11.6232995986939,103,15.6288003921509
"234","high reliability","Quadrat","mountain",6699.915187,"road",0.008468812,"Y","Y","N","Y",35.4000015258789,0.00999999977648258,57,145,118,16,1.56560003757477,0.00289999996311963,0.655377626419067,5.53064870834351,267.790893554687,19.2057991027832,83.7941970825195,59.8003997802734,106,16.565299987793
"235","high reliability","Quadrat","place",6162.97629,"road",0.012952064,"Y","Y","N","Y",7,0.0166999995708466,16,95,122,2,0.991400003433228,0.00730000017210841,0,1.76559710502625,270.559295654297,23.0881996154785,66.5593032836914,16.4407005310059,2,17.6989002227783
"236","high reliability","Quadrat","place",3720.341673,"road",0.021184609,"Y","Y","N","Y",9.80000019073486,-0.00209999992512166,16,95,122,2,1.10749995708466,0.0015999999595806,0,1.76559710502625,269.2080078125,18.9990005493164,67.6411972045898,14.7919998168945,2,17.3878993988037
"237","high reliability","Quadrat","place",3296.508719,"road",0.002232317,"N","Y","N","Y",3.59999990463257,-0.0007999999797903,16,95,122,2,0.824699997901917,0.00219999998807907,0,1.76559710502625,271.839996337891,22.1599006652832,68.8401031494141,15.1597995758057,2,18.5932006835937
"238","high reliability","Quadrat","place",3277.578293,"road",0.002078647,"N","Y","N","Y",3.59999990463257,-0.0007999999797903,16,95,122,2,0.824699997901917,0.00219999998807907,0,1.76559710502625,271.839996337891,22.1599006652832,68.8401031494141,15.1597995758057,2,18.5932006835937
"239","high reliability","Quadrat","place",3815.050706,"road",0.000493806,"Y","Y","N","Y",3.20000004768372,0.0031999999191612,16,95,122,16,0.833299994468689,0.00730000017210841,0,1.76559710502625,270.624298095703,16.3756999969482,69.6242980957031,12.3756999969482,113,17.0000991821289
"240","high reliability","Quadrat","place",8075.565611,"road",0.008764234,"Y","Y","N","Y",9.80000019073486,0.00139999995008111,16,95,122,2,1.10399997234345,0.00419999985024333,0,1.76559710502625,269.00439453125,21.160400390625,66.8403015136719,15.3522996902466,2,17.4720001220703
"241","high reliability","Quadrat","place",7105.655463,"road",0.001516546,"Y","Y","N","Y",7.80000019073486,0.00120000005699694,16,95,122,2,1.02929997444153,0.00139999995008111,0,1.76559710502625,271.340515136719,18.6595993041992,68.3404006958008,13.6596002578735,2,17.6065006256104
"242","high reliability","Quadrat","place",5847.144342,"watercourse_river",0.000797208,"N","Y","N","N",143.199996948242,-0.358200013637543,17,92,124,12,2.10969996452331,0.0232999995350838,0.858628511428833,12.9171495437622,292.369812011719,19.2716999053955,82.4422988891602,36.1697998046875,12,12.983699798584
"243","low reliability","Quadrat","place",5063.076588,"watercourse_stream",0.004452446,"Y","N","N","N",57.7999992370606,0.0194000005722046,64,102,106,103,1.62279999256134,0.0395999997854233,0.42648109793663,10.7188777923584,301.019500732422,10.1993999481201,86.3674011230469,22.1418991088867,103,16.6100006103516
"244","high reliability","Quadrat","mountain",2049.585478,"road",0.007683845,"Y","Y","N","N",227.399993896484,-0.00240000011399388,15,90,112,103,1.99339997768402,0.0059000002220273,0.809443652629852,10.2576637268066,306.438385009766,-13.4486999511719,81.0808029174805,30.5615005493164,103,15.7903995513916
"245","high reliability","Quadrat","place",6998.812146,"watercourse_stream",0.016965139,"Y","Y","N","N",241.800003051758,-0.0270000007003546,3,21,109,103,2.37159991264343,0.0709000006318092,1.22896385192871,11.2266120910645,303.34521484375,13.227499961853,59.7162017822266,4.9770998954773,103,17.2863998413086
"246","high reliability","Quadrat","mountain",7743.362176,"road",0.007011784,"Y","Y","N","N",469.600006103516,-0.126900002360344,19,100,114,16,2.57780003547668,0.022299999371171,0.973325788974762,8.64309978485107,290.533294677734,3.23690009117126,55.7630996704102,55.1279983520508,12,13.9266996383667
"247","low reliability","Quadrat","place",2363.286616,"watercourse_river",0.008099149,"Y","N","N","N",118.599998474121,0.243100002408028,64,102,106,8,1.99570000171661,0.0533000007271767,0.89844685792923,10.8679542541504,297.248199462891,13.0331001281738,82.2192993164063,23.7590007781982,8,13.5874996185303
"248","high reliability","Quadrat","place",3118.33904,"road",0.005705577,"Y","Y","N","N",1.20000004768372,0.008500000461936,16,95,122,102,0.636699974536896,0.0063999998383224,0,1.76559710502625,271.629211425781,22.3708000183105,68.6292037963867,15.3708000183106,102,18.2889995574951
"249","high reliability","Quadrat","place",10413.83679,"road",0.002232691,"Y","Y","N","N",6.80000019073486,0.00460000010207295,16,95,122,16,0.986100018024445,0.00430000014603138,0,1.76559710502625,270.431091308594,20.5690002441406,67.4309997558594,14.5690002441406,2,18.1767997741699
"250","high reliability","Quadrat","place",10297.85177,"road",0.001622356,"Y","Y","N","N",6.19999980926514,0.0015999999595806,16,95,122,16,0.958299994468689,0.00800000037997961,0,1.76559710502625,270.603485107422,20.3967990875244,67.6032028198242,14.3984003067017,2,18.3092002868652
"251","high reliability","Quadrat","place",3337.849502,"road",0.009998138,"Y","Y","N","N",1.60000002384186,-0.000699999975040555,16,95,122,113,0.670400023460388,0.00139999995008111,0,1.76559710502625,271.655212402344,22.3448009490967,67.7761001586914,15.3447999954224,113,18.8743991851807
"252","low reliability","Quadrat","place",8910.300829,"state_border",0.005887398,"N","N","N","N",65.7242965698242,0.00209999992512166,37,140,127,17,1.21889996528626,0.0100999996066093,0.0585445277392864,1.75469291210175,291.131896972656,-7.54570007324219,78.5457000732422,57.4556999206543,109,16.5097007751465
